module	class	exit_code	duration_seconds	source_sha256	olean_sha256
LeanSupportGeometryV4	baseline	0	84	d08301e3e7fe1df43d2cc000614b11f2a6b21d5e1d0370c6598ed5af005041d9	5819191d835bca9d2034d4f7515b14ea52262e0d875feaa92c5ec35fa9e31153
LeanReferenceFidelityV4	baseline	0	88	14ef3b93bbdf3eaa1759e7004a32ba98e1e5cd91279d39043a0208f49e18d901	dd94bd55416300f2ce41fc586df515d5c2b9aa44caf3e283b0ddcd5732129dfe
LeanReferenceKernelV4	baseline	0	73	d09440c830a25d0721d3805ce41ff189b208c7d0cd6cfb9c2e6843d8848b8a13	bbe50163f1487e07f73374036380f2e6f4ff116ae7c0442f97ad91fcc7084bd0
LeanPairwiseMasterV4	baseline	0	67	52c07444cd17e0f0707eee060a8b6f268d854697e514895c13af3f0301344b0e	70f9ce3fa0becadd7c4f27cbd13c9bb5e8e0dbc097b763b4bba14d92b324864e
LeanFunctionalBoundaryV4	baseline	0	62	9c53dceb131625f82e6dd78441d35236db00fb3edbe62e07fb328944a274b50d	9437493242efbfbfc2a5cfa6fb20f4449ca7cd5cfadf5a7b7dfbd661957a4e10
LeanStructuralRankabilityV4	baseline	0	72	ea3f8323856c67ba0820c7f8864a9a98f7fff72f078d93a2ae5817c203bee3a0	bf5ff5ed8488a7fa9489e801a68dbb946d4a6fb9194eadd566113e4d56389ccf
LeanProductSurrogateV4	baseline	0	65	94887a7f8f9112973a6a0de7d2a559c34ad2d4bd3f129401136430138ec58cd9	d227e023fbd86951fa51ec9df08591e7706d62ce1218ab065ffd87c01900208e
LeanQuerySufficiencyV4	baseline	0	82	4cd2473bc33b2f784cf18a69823611ac15493ca0be38f7275191a2b71b335836	850b89327c232e6492d76f329e27570bc8be6670f2381335dbcaee041d43c664
LeanAuxiliaryBH6StructuralV4	baseline	0	73	a0e2510c5e39fa9b3d16489b0c132c904c768d8142eacc02689f04fb49888a04	15dda5dad836b287f525dc204f3fa967feb443f29b1ae9409b38adf93429955f
LeanStructuralGeometryWitnessesV4	baseline	0	87	9aa682d6386aba6ce62d7c43802fba1273dcd6a01d36a289cdcc9f5961c4c124	f125e28f8eb349a68760e34b06412309dac5604c8c20a5822cb19430bd1177d8
LeanFunctionalAuxV4	baseline	0	75	2449f04ce37ae199a0e2794e56e5ce0caf5b1f6c5aaf1304c4863942bf7976fd	022975b4ebb2c3d8fc6f8aff82a8970875d07a5d603040983dcd95ffaa68372b
LeanProductMixedDifferenceV4	baseline	0	73	8d362429b4757c70a796ae53de88e531eff850d07941cef81d9dca8671a87037	1e794e65786abc6685184680678cdd1357fbb49e742225ef86f5f92941385702
LeanQueryRemovalV4	baseline	0	69	0fac1e36c3feb47c5e3ef3995da21161d8e91ce7f4f037d66edc8a70d0779c29	1dfd12f6138b528f990309e86807d813f09aabb14bdc878d6bb95054e3b7bfa3
LeanFunctionalRankingV6	baseline	0	70	3e9ad55922e8eb7cb4b0d71e0c3b79725124bf50fcf1b4521ff3e79d1e2aea65	297f399509052279f8d9304d95aec3b90464c91cf79b44a0bc30da5f0d5953fd
LeanPairwiseBoxRegretV1	extension	0	71	25b06473ec52ead16e9069c193cb92db6f050bc9eb00c3b3913193fe284fc0e3	c6cf1754e4648afda1e7c1fb5c68d69d59ee65a5323afe8cb78fd7d5b5c859ba
LeanCertificateProbabilityV1	extension	0	67	062f1e51450f103e28244dbcb55552998ce2ff73b753214f583ceafab5cab480	e03b1deafd8eafec26d8e42ceb540e6c535b15d16a0b1e47c045ed8e25d6aa0f
LeanQuerySufficiencyQuantitativeV1	extension	0	65	a28e56b6f276e6c153d903c114dd1a8f38bce64ef7989d2fe6426b1cd54d483e	df4593748448ea442e9be1c5e18dc035e82e592e0edb93168692fc4614b7d25f
LeanStructuralRankabilityCharacterizationV1	extension	0	67	8670b79b45d2b8548e8b3344d87c45a7ae1e3012d36954e11a78949df8027cd0	0a1473e5eed644a1427c9182932dacd16d675d02b19d268c0fb72490cf6ccd54
