module	status	compile_evidence
LeanTypedCertificateCompletionV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanD6CostAwarePAECCompletionV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanFunctionalSelectiveMaintenanceV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanSupportCriticalIdentificationV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanQueryIdentifiabilityVerifierV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanStructuralPrefixCoverDimensionV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanD6FirstOrderInsufficiencyWitnessV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanD6FirstOrderInsufficiencyWitnessV2	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanD6PAECCostAwareAdapterV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanSupportCompressionCriticalWitnessV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanTCCReferenceSeparationV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanTCCActualSeparationsV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanStructuralPrefixCoverWitnessesV1	COMPILED_ZERO_SORRY	compile_logs/novelty_critical_batch_expanded.log
LeanStructuralPrefixCoverChi3WitnessV1	COMPILED_CANDIDATE_DATA_OPEN	compile_logs/novelty_critical_batch_expanded.log
LeanD6PAECCanonicalWitnessesV1	COMPILED_ZERO_SORRY	compile_logs/actual_hard_additions_batch_final.log
LeanSupportCompressionCriticalWitnessTighteningV1	COMPILED_ZERO_SORRY	compile_logs/actual_hard_additions_batch_final.log
LeanStructuralPrefixCoverChi3ProofAttemptV1	COMPILED_ZERO_SORRY_OPEN_DIAGNOSTIC	compile_logs/actual_hard_additions_batch_final.log
