equation_id,chain,scientific_object,code_function,test_file,status
B1,BH,exact support radius,research_chains.finite_world.FiniteResponseWorld.additive_radius,tests/test_new_chain_harness.py,IMPLEMENTED_TESTED
B3,BH,exact support deficit,research_chains.certificates.deficit_terms,tests/test_new_chain_harness.py,IMPLEMENTED_TESTED
B4,BH,zeta_def half certificate,research_chains.certificates.zeta_def,tests/test_new_chain_random_labs.py,IMPLEMENTED_FALSIFIED
B5,BH,global E half certificate,research_chains.certificates.global_extremizability_defect,tests/test_new_chain_random_labs.py,IMPLEMENTED_FALSIFIED
B6,BH,gauge invariant delta,research_chains.certificates.quotient_sup_distance,tests/test_new_chain_harness.py,IMPLEMENTED_TESTED
H2,H,support radius monotonic bracket,research_chains.certificates.support_bracket_regret_bound,tests/test_new_chain_harness.py,IMPLEMENTED_TESTED
H5,H,projected span bracket,research_chains.support.projected_span_bracket,tests/test_new_chain_harness.py,IMPLEMENTED_TESTED
R2,R_iso,reference isolation bound,research_chains.reference.ConditionalReferenceKernel.isolation_deviation,tests/test_new_chain_harness.py,IMPLEMENTED_FALSIFIED
R3,R_iso,TV isolation upper bound,research_chains.reference.ConditionalReferenceKernel.tv_isolation_upper_bound,tests/test_new_chain_random_labs.py,IMPLEMENTED_FALSIFIED
R_fidelity,R_iso,universal additive-complement fidelity,research_chains.reference.reference_fidelity_characterization,tests/test_new_chain_extended.py,IMPLEMENTED_SEARCHABLE
rho,R_iso,near-additive pairwise residual,research_chains.reference.ConditionalReferenceKernel.residual_deviation,tests/test_new_chain_random_labs.py,IMPLEMENTED_FALSIFIED
P3,PAIRWISE,sharp score-to-decision transfer,research_chains.pairwise.sharp_gamma,tests/test_new_chain_harness.py,IMPLEMENTED_FALSIFIED
P5,PAIRWISE,operational interval transfer,research_chains.pairwise.operational_gamma,tests/test_new_chain_harness.py,IMPLEMENTED_FALSIFIED
AIPW_target,A,natural-history semantic gate,models.crossfit_aipw.CrossFittedConditionalAIPW,tests/test_new_chain_legacy_semantics.py,IMPLEMENTED_TESTED
A8,A,extrema gap,research_chains.functionals.extrema_gaps,tests/test_new_chain_harness.py,IMPLEMENTED
A9,A,simultaneous C interval,research_chains.functionals.simultaneous_capacity_interval,scripts/run_chain_a_functional_lab.py,IMPLEMENTED_FALSIFIED
A_design,A,floor constrained D allocation,research_chains.functionals.neyman_allocation,tests/test_new_chain_harness.py,IMPLEMENTED_TESTED
F3,F3,paired moving-estimand shadow,research_chains.f3.paired_shadow_experiment,tests/test_new_chain_extended.py,PLUMBING_ONLY
OracleBridge,R/D/BH,clone-state joint response,research_chains.oracle.CloneStateJointOracle,tests/test_new_chain_oracle_adapter.py,IMPLEMENTED_TESTED
