seed,state_idx,ego_id,neighbor_id,fixed_panel_step_index,fixed_panel_step_hash,fixed_panel_fingerprint,learned_score,oracle_score,learned_signed,learned_direction_row_aipw,oracle_signed,learned_range,oracle_range,oracle_q_nonconstant,oracle_q_distinct_levels,observed_action_probability,policy_support_entropy,valid_action_count,target_policy_l1_to_uniform,q_centered_rmse,q_centered_mae,abs_error,signed_error,capacity_abs_error,direction_abs_error,proxy_sigma,capacity_sigma,direction_sigma,dr_applied,learned_q_range,oracle_q_range_from_surface,capacity_head_q_range_consistency_abs,capacity_q_error_bound,capacity_q_error_bound_violation,direction_head_q_consistency_abs,oracle_direction_q_consistency_abs,oracle_argmax_action,oracle_argmin_action,learned_argmax_action,learned_argmin_action,oracle_argmax_count,oracle_argmin_count,oracle_extrema_unique,argmax_match,argmin_match,both_extrema_match,oracle_g_plus,oracle_g_minus,oracle_extrema_gap,extrema_gap_zero,q_raw_sup_error,q_gauge_shift_opt,q_gauge_sup_error,q_gauge_sup_error_check,lambda_C,lambda_C_raw,extrema_stability_certified,extrema_stability_violation,learned_direction_from_q,oracle_direction_from_q,direction_weight_l1,direction_q_error_bound,direction_sign_margin,lambda_D,direction_sign_match_from_q,direction_sign_certified,direction_sign_violation,oracle_capacity_rank,learned_capacity_rank,oracle_capacity_topk_member,learned_capacity_topk_member,oracle_capacity_margin_to_topk_boundary,checkpoint,experiment_seed
3001,0,0,1,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0199862122535705,0.0419999994337558,0.0015037921257317,0.0015037921257317,0.0020769230167453,0.0199862122535705,0.0419999994337558,1,4,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0090076183782817,0.0050043833590823,0.0220137871801853,-0.0005731308910136,0.0220137871801853,0.0005731308910136,0.0023173741064965,0.0041669132187962,0.0023173741064965,0,0.0199862122535705,0.0419999994337558,0.0,0.0360970832407474,0,6.905410999957783e-10,3.469446951953614e-18,10,4,10,11,1,1,1,1,0,0,0.0120000001043081,0.0179999992251396,0.0120000001043081,0,0.02412717230618,0.0060786306858062,0.0180485416203737,0.0180485416203737,1.5040451219574662,2.01059767470486,0,0,0.0015037914351906,0.0020769230167453,1.6615384505345263,0.0299883458783236,0.0020769230167453,14.438833619032051,1,0,0,1,1,1,1,0.0179999992251396,320,3001
3001,0,0,2,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0192616395652294,0.0240000002086162,0.0015965156489983,0.0015965156489983,-3.469446951953614e-18,0.0192616395652294,0.0240000002086162,1,3,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0016713479290591,0.001329376621271,0.0047383606433868,0.0015965156489983,0.0047383606433868,0.0015965156489983,0.0016005805227905,0.0020318538881838,0.0016005805227905,0,0.0192616404965519,0.0240000002086162,9.313225746154783e-10,0.0060521457344293,0,8.473180577311944e-10,3.469446951953614e-18,10,11,10,11,1,1,1,1,1,1,0.0120000001043081,0.0120000001043081,0.0120000001043081,0,0.013909475877881,-0.0108834030106663,0.0030260728672146,0.0030260728672146,0.2521727367425844,1.1591229797479252,1,0,0.0015965164963163,0.0,1.6615384505345263,0.0050279364229964,0.0,inf,0,0,0,2,2,0,0,0.0179999992251396,320,3001
3001,0,0,3,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0071303648874163,0.0,0.0017691338434815,0.0017691338434815,0.0,0.0071303648874163,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0017552839604629,0.001319388908571,0.0071303648874163,0.0017691338434815,0.0071303648874163,0.0017691338434815,0.0013334441464394,0.0060135014355182,0.0013334441464394,0,0.0071303648874163,0.0,0.0,0.0071303648874163,0,1.1130345950460807e-09,1.734723475976807e-18,0,0,1,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0144431972876191,-0.0108780148439109,0.0035651824437081,0.0035651824437081,inf,inf,0,0,0.0017691349565161,1.734723475976807e-18,1.6615384505345263,0.0059236877133917,1.734723475976807e-18,inf,0,0,0,3,5,0,0,0.0419999994337558,320,3001
3001,0,0,4,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0092728957533836,0.0,0.0002499143593013,0.0002499143593013,0.0,0.0092728957533836,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0022863614793581,0.0016101525556406,0.0092728957533836,0.0002499143593013,0.0092728957533836,0.0002499143593013,0.0025077993050217,0.0067906230688095,0.0025077993050217,0,0.0092728957533836,0.0,0.0,0.0092728957533836,0,6.965650365536867e-10,1.734723475976807e-18,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0138612743467092,-0.0092248264700174,0.0046364478766918,0.0046364478766918,inf,inf,0,0,0.0002499136627362,1.734723475976807e-18,1.6615384505345263,0.0077036364210226,1.734723475976807e-18,inf,0,0,0,4,3,0,0,0.0419999994337558,320,3001
3001,0,0,5,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0081562250852584,0.0,0.0023464991245418,0.0023464991245418,0.0,0.0081562250852584,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0020339846154036,0.0015081985241915,0.0081562250852584,0.0023464991245418,0.0081562250852584,0.0023464991245418,0.0013063778169453,0.0057283528149127,0.0013063778169453,0,0.0081562250852584,0.0,0.0,0.0081562250852584,0,8.117401542606649e-11,1.734723475976807e-18,0,0,1,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0139734670519828,-0.0098953545093536,0.0040781125426292,0.0040781125426292,inf,inf,0,0,0.0023464992057158,1.734723475976807e-18,1.6615384505345263,0.0067759407951856,1.734723475976807e-18,inf,0,0,0,5,4,0,0,0.0419999994337558,320,3001
3001,0,1,0,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0160178449004888,0.0120000001043081,-0.0012320392997935,-0.0012320392997935,0.0,0.0160178449004888,0.0120000001043081,1,3,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0011776831140929,0.0009302694085963,0.0040178447961807,-0.0012320392997935,0.0040178447961807,0.0012320392997935,0.0021396814845502,0.0053318194113671,0.0021396814845502,0,0.0160178444348275,0.0120000001043081,4.656612873077393e-10,0.0043153665028512,0,6.491393382025701e-10,0.0,10,11,10,11,1,1,1,1,1,1,0.006000000052154,0.006000000052154,0.006000000052154,0,0.0108939921483397,-0.0087363088969141,0.0021576832514256,0.0021576832514256,0.3596138721117164,1.815665342274237,1,0,-0.0012320399489328,0.0,1.6615384505345263,0.003585073686318,0.0,inf,0,0,0,2,2,0,0,0.0120000001043081,320,3001
3001,0,1,2,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.018054325133562,0.0240000002086162,0.0014163540909066,0.0014163540909066,0.0,0.018054325133562,0.0240000002086162,1,3,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0015157920912474,0.0011669431190773,0.0059456750750541,0.0014163540909066,0.0059456750750541,0.0014163540909066,0.0022688696626573,0.0062755686230957,0.0022688696626573,0,0.0180543257538374,0.0240000002086162,6.202753866091371e-10,0.0059456744547787,0,5.520126625767341e-10,0.0,10,11,10,11,1,1,1,1,1,1,0.0120000001043081,0.0120000001043081,0.0120000001043081,0,0.0120249049123231,-0.0090520676849337,0.0029728372273893,0.0029728372273893,0.2477364334623722,1.0020754006498749,1,0,0.001416353538894,0.0,1.6615384505345263,0.0049394833604879,0.0,inf,0,0,0,1,1,1,1,0.0120000001043081,320,3001
3001,0,1,3,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0080749485641717,0.0,0.0014194118557497,0.0014194118557497,0.0,0.0080749485641717,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0018038866382954,0.0012638512227309,0.0080749485641717,0.0014194118557497,0.0080749485641717,0.0014194118557497,0.0026496713981032,0.0035624287556856,0.0026496713981032,0,0.008074949029833,0.0,4.656612873077393e-10,0.008074949029833,0,2.1805723242687702e-10,0.0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.013163361698389,-0.0091258871834725,0.0040374745149165,0.0040374745149165,inf,inf,0,0,0.001419412073807,0.0,1.6615384505345263,0.006708419149587,0.0,inf,0,0,0,3,5,0,0,0.0240000002086162,320,3001
3001,0,1,4,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0109197879210114,0.0,-0.0009224862442351,-0.0009224862442351,0.0,0.0109197879210114,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0022241224867033,0.0012513135157569,0.0109197879210114,-0.0009224862442351,0.0109197879210114,0.0009224862442351,0.0023331837728619,0.0038890945725142,0.0023331837728619,0,0.010919788153842,0.0,2.3283064365386963e-10,0.010919788153842,0,1.0941043297046925e-10,0.0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0144026624038815,-0.0089427683269605,0.005459894076921,0.005459894076921,inf,inf,0,0,-0.0009224863536456,0.0,1.6615384505345263,0.00907182394465,0.0,inf,0,0,0,4,3,0,0,0.0240000002086162,320,3001
3001,0,1,5,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0099534140899777,0.0,0.0014886287972331,0.0014886287972331,0.0,0.0099534140899777,0.0,0,1,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0022203374674815,0.0015951327582788,0.0099534140899777,0.0014886287972331,0.0099534140899777,0.0014886287972331,0.0024702737573534,0.0032714416738599,0.0024702737573534,0,0.0099534140899777,0.0,0.0,0.0099534140899777,0,8.872295259587659e-13,0.0,0,0,10,11,13,13,0,1,1,1,0.0,0.0,0.0,1,0.0147253610193729,-0.009748653974384,0.0049767070449888,0.0049767070449888,inf,inf,0,0,0.0014886287981203,0.0,1.6615384505345263,0.008268990112295,0.0,inf,0,0,0,5,4,0,0,0.0240000002086162,320,3001
3001,0,2,0,0,5008b68b0e9963d656e8779f2585aba917a29297d7347b358219637af4259693,91ee5ab5a7de78acc4f74ed6b5b83f62d78ad688c62839bcf4c5ce214c2e6e02,0.0162357836961746,0.0120000001043081,-0.0009268632275052,-0.0009268632275052,0.0,0.0162357836961746,0.0120000001043081,1,3,0.9076921939849854,0.209446940640395,13,1.661538353333106,0.0012887223277682,0.0010034454459139,0.0042357835918664,-0.0009268632275052,0.0042357835918664,0.0009268632275052,0.0010073716985061,0.0049346815794706,0.0010073716985061,0,0.0162357846274971,0.0120000001043081,9.313225746154783e-10,0.0047771480167284,0,4.0091941702277694e-11,0.0,10,11,10,11,1,1,1,1,1,1,0.006000000052154,0.006000000052154,0.006000000052154,0,0.0033399518579244,-0.0009513778495602,0.0023885740083642,0.0023885740083642,0.3980956646003206,0.5566586381487418,1,0,-0.0009268632675971,0.0,1.6615384505345263,0.0039687075568445,0.0,inf,0,0,0,2,2,0,0,0.0299999993294477,320,3001
